name,type,location,creators_rec,notes,sheet_name
Blue Bottle,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Cafenated Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Victory Point,Coffee,San Francisco Bay Area,Yes,Good espresso in a board game cafe.,Dea - Bay Area
My Coffee Roastery,Coffee,San Francisco Bay Area,Yes,"Fairytale cottage coffee shop, with incredible attention to detail. Look out for sorted jars of bad coffee beans (""floater"" and ""immature"" among others).",Dea - Bay Area
Artis,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Hidden Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Timeless Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Free Speech Movement,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Rasa Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area
States,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Equator Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Souvenir Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Cole Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Bartavelle Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
CoRo Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Ritual,Coffee,San Francisco Bay Area,,,Dea - Bay Area
The Coffee Movement,Coffee,San Francisco Bay Area,Yes,Favorite coffee shop in SF! Bonus points if you go in the summer and they have a repurposed orange VW van for people to sit in.,Dea - Bay Area
Sightglass,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Apple Visitor Center,Coffee,San Francisco Bay Area,Yes,"Coffee: slightly average. Apple's HQ being across the street: kinda surreal. If you get a foamy drink, there's a nice litte surprise at the top :)",Dea - Bay Area
Ain't Normal,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Goody Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area
HITW,Coffee,San Francisco Bay Area,Yes,"Essentially a coffee window with a few squeaky tables around it on the street, but few coffee experiences beat getting an espresso shot, reading a book and taking in the beautiful North Beach SF neighborhood, especially in early fall.",Dea - Bay Area
1951 Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Red Bay Coffee Box,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Crown Coffee Lab,Coffee,San Francisco Bay Area,Yes,"Coffee meets tasting menus: get their sample of 3 coffees and nerd out over tasting notes. Also offers classes, consultations and a podcast!",Dea - Bay Area
Verve Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
The Mill,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Nirvana Soul,Coffee,San Francisco Bay Area,Yes,"Great coffee in a pink, tropical-themed shop. The staff is incredibly friendly and it shows: the shop even has a coffee Spotify playlist!",Dea - Bay Area
VN Beans,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Three Waves,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Sextant Coffee Roasters,Coffee,San Francisco Bay Area,Yes,Some of the best coffee the Bay Area has to offer.,Dea - Bay Area
Motivat,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Bicycle Coffee,Coffee,San Francisco Bay Area,Yes,Bike-themed shop geared towards cyclists. Expect to be served with both coffee and cycling gear if interested. They give you discounts if you show them your helmet!,Dea - Bay Area
Andytown,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Flywheel,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Snow White,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Awaken,Coffee,San Francisco Bay Area,Yes,Downtown Oakland spot with pretty good espresso and oversized beach lounging chairs in front of the shop that let you people-watch and bask in the sun.,Dea - Bay Area
Four Barrel,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Kilovolt,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Haddon Hill,Coffee,San Francisco Bay Area,,,Dea - Bay Area
CRO Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Mind Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Piccino,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Hal's Office Coffee,Coffee,San Francisco Bay Area,Yes,Neighbor-ly spot in Albany: get their empanadas and an espresso and thank me later!,Dea - Bay Area
Signal Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Linea Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area
Noe Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area
SPRO,Coffee,San Francisco Bay Area,Yes,Coffee truck alert!,Dea - Bay Area
Thai Basil House,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Mediterrane,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Gather,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Razan's Organic Kitchen,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Little Gem Belgian Waffles,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
**Tony's Pizza Napoletana,Restaurant,San Francisco Bay Area,Yes,The other pizza spot in my top 2. Incredibly popular but also fully deserves all its hype. Props for getting creative with the pizza: I loved the jam-flavored one I got.,Dea - Bay Area
Ghirardelli Ice Cream,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Artichoke's Basille Pizza,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
**Gregoire,Restaurant,San Francisco Bay Area,Yes,The notorious potato puffs with truffle oil. Non-optional and highly craveable.,Dea - Bay Area
Casa Barotti,Restaurant,San Francisco Bay Area,Yes,Among the only Italian streetfood spots in the Bay. Choose a few small slices from their selection and enjoy.,Dea - Bay Area
Taco Sinaloa,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Brenda's,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Donato,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Sotto Mare,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Boichik Bagels,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Piccolo Forno,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
La Note,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Freehouse,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Cafe Reveille,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Lazy Dog,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
**Chez Panisse,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Hog Island Oysters,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Sizzling Lunch,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Bollywood Cafe,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Raleigh,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
La Farine,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Nabolom,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Lucca Delicatessen,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Viks Chaat,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Acme Bread,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
**Cheeseboard,Restaurant,San Francisco Bay Area,Yes,Worker-owned and operated pizza place with vegan ingredients and a new veggie-based set of toppings each day. One of Berkeley's landmarks and hugely influential in food movements.,Dea - Bay Area
B Patisserie,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Brenda's Meat and Three,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Third Culture Bakery,Restaurant,San Francisco Bay Area,Yes,Mochi donuts! Can't go wrong with any flavor since they'll always be the perfect mix of chewy and crunchy.,Dea - Bay Area
La Marcha Tapas Bar,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Breadbelly,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Cinderella,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
**Oma San Francisco Station,Restaurant,San Francisco Bay Area,Yes,Omakase spot hidden at the edge of a Japantown mall. Relatively affordable and amazing sushi and service.,Dea - Bay Area
The Anchovy Bar,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Shawarmaji,Restaurant,San Francisco Bay Area,Yes,,Dea - Bay Area
Kingpin Donuts,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Mama Oakland,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Cupcakin Bake Shop,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Poke Bowl,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Bob Donuts,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Saul's Deli,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Arizmendi,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Fish and Bird Sousaku Izakaya,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Rick and Ann's,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Stuffed Inn,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
Takoyaki Yamachan,Restaurant,San Francisco Bay Area,,,Dea - Bay Area
**Mochill Mochi Donuts,Restaurant,San Francisco Bay Area,Yes,Very crave-inducing mochi donut spot. My favorite is the black sesame which is a great mix of chewy-ness and flowery-looking donut.,Dea - Bay Area
Daily Driver,Restaurant,San Francisco Bay Area,Yes,Bagel shop that gets creative with its recipes: I got the goat cheese and honey cinammon raising bagel and enjoyed it in their airy space in the Dogpatch.,Dea - Bay Area
