name,location,city,state,country,creators_rec,notes,address,rating,user_ratings_total,google_maps_link,lat,lng,opening_hours,type,google_place_id,type2
Cafenated Coffee,San Francisco Bay Area,Berkeley,California,United States of America,,"Cat-themed designs, great coffee and an outdoor patio good for reading: quality coffee spot!","2085 Vine St, Berkeley, CA 94709, United States",4.3,373.0,"https://www.google.com/maps/search/?api=1&query=2085%20Vine%20St,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJz4VbokB_hYAR95axLBoPul4",37.8803,-122.2699,"Monday: 7:00 AM - 6:00 PM
Tuesday: 7:00 AM - 6:00 PM
Wednesday: 7:00 AM - 6:00 PM
Thursday: 7:00 AM - 6:00 PM
Friday: 7:00 AM - 6:00 PM
Saturday: 8:00 AM - 6:00 PM
Sunday: 8:00 AM - 6:00 PM",cafe,ChIJz4VbokB_hYAR95axLBoPul4,coffee
Victory Point,San Francisco Bay Area,Berkeley,California,United States of America,Yes,Good espresso in a board game cafe: pick a game from their wall and spend fun times at their playing events.,"1797 Shattuck Ave. Ste A, Berkeley, CA 94709, United States",4.7,779.0,"https://www.google.com/maps/search/?api=1&query=1797%20Shattuck%20Ave.%20Ste%20A,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJc4U-eZ9-hYAR5ih4d-bZpBI",37.8752,-122.2685,"Monday: 9:00 AM - 11:00 PM
Tuesday: 9:00 AM - 11:00 PM
Wednesday: 9:00 AM - 11:00 PM
Thursday: 9:00 AM - 11:00 PM
Friday: 9:00 AM - 11:00 PM
Saturday: 10:00 AM - 11:00 PM
Sunday: 10:00 AM - 10:00 PM",cafe,ChIJc4U-eZ9-hYAR5ih4d-bZpBI,coffee
My Coffee Roastery,San Francisco Bay Area,Berkeley,California,United States of America,Yes,"Fairytale cottage coffee shop, with incredible attention to detail. Look out for sorted jars of bad coffee beans (""floater"" and ""immature"" among others).","2080 Martin Luther King Jr Way, Berkeley, CA 94704, United States",4.8,270.0,"https://www.google.com/maps/search/?api=1&query=2080%20Martin%20Luther%20King%20Jr%20Way,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJxapf8PF_hYARPg1Ki7Ws9pE",37.8707,-122.2731,"Monday: Closed
Tuesday: Closed
Wednesday: 8:00 AM - 4:00 PM
Thursday: 8:00 AM - 4:00 PM
Friday: 8:00 AM - 4:00 PM
Saturday: 9:00 AM - 5:00 PM
Sunday: 9:00 AM - 5:00 PM",cafe,ChIJxapf8PF_hYARPg1Ki7Ws9pE,coffee
Artis,San Francisco Bay Area,Berkeley,California,United States of America,,"High quality coffee and a sleek decor: would recommend for one of those very complex, single origin coffees you want every now and then.","1717 Fourth St B, Berkeley, CA 94710, United States",4.4,643.0,"https://www.google.com/maps/search/?api=1&query=1717%20Fourth%20St%20B,%20Berkeley,%20CA%2094710,%20United%20States&query_place_id=ChIJMbB3FNt-hYAR-FZpf8Lpdxs",37.8716,-122.301,"Monday: 8:00 AM - 5:00 PM
Tuesday: 8:00 AM - 5:00 PM
Wednesday: 8:00 AM - 5:00 PM
Thursday: 8:00 AM - 5:00 PM
Friday: 8:00 AM - 5:00 PM
Saturday: 9:00 AM - 6:00 PM
Sunday: 9:00 AM - 6:00 PM",cafe,ChIJMbB3FNt-hYAR-FZpf8Lpdxs,coffee
Hidden Cafe,San Francisco Bay Area,Berkeley,California,United States of America,,"Cozy coffee shop next to Strawberry Creek Park, so you can get your coffee, a tasty snack and your dose of sunshine and people watching all in one go.","1250 Addison St Suite 111, Berkeley, CA 94702, United States",4.8,195.0,"https://www.google.com/maps/search/?api=1&query=1250%20Addison%20St%20Suite%20111,%20Berkeley,%20CA%2094702,%20United%20States&query_place_id=ChIJBXOowZl_hYARlyq3_rFQii0",37.8684,-122.287,"Monday: Closed
Tuesday: 8:30 AM - 6:00 PM
Wednesday: 8:30 AM - 6:00 PM
Thursday: 8:30 AM - 6:00 PM
Friday: 8:30 AM - 6:00 PM
Saturday: 8:30 AM - 6:00 PM
Sunday: 8:30 AM - 6:00 PM",cafe,ChIJBXOowZl_hYARlyq3_rFQii0,coffee
Timeless Cafe,San Francisco Bay Area,Berkeley,California,United States of America,,"Among the best coffee in Berkeley, in the middle of College Avenue, a cute street with a ton of other small businesses to explore.","2965 College Ave, Berkeley, CA 94705, United States",4.6,313.0,"https://www.google.com/maps/search/?api=1&query=2965%20College%20Ave,%20Berkeley,%20CA%2094705,%20United%20States&query_place_id=ChIJFZLL5s19hYAR-PoPkSWG7yc",37.8568,-122.2529,"Monday: 7:00 AM - 4:00 PM
Tuesday: 7:00 AM - 4:00 PM
Wednesday: 7:00 AM - 4:00 PM
Thursday: 7:00 AM - 4:00 PM
Friday: 7:00 AM - 4:00 PM
Saturday: 8:00 AM - 4:00 PM
Sunday: 8:00 AM - 4:00 PM",cafe,ChIJFZLL5s19hYAR-PoPkSWG7yc,coffee
Free Speech Movement,San Francisco Bay Area,Berkeley,California,United States of America,,"Coffee shop on the first floor of Berkeley's Moffit Library, a place that pays homage to the 60s Berkeley student protests on freedom of speech. The coffee is about average but you might be inspired by the crowds of students studying on their laptops.","3rd Floor, U C, University Dr, Berkeley, CA 94709, United States",4.3,208.0,"https://www.google.com/maps/search/?api=1&query=3rd%20Floor,%20U%20C,%20University%20Dr,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJ60w1qN9-hYARtzxtM7Qwdw4",37.8726,-122.2608,"Monday: 7:00 AM - 10:00 PM
Tuesday: 7:00 AM - 10:00 PM
Wednesday: 7:00 AM - 10:00 PM
Thursday: 7:00 AM - 10:00 PM
Friday: 7:00 AM - 10:00 PM
Saturday: 9:00 AM - 7:00 PM
Sunday: 1:00 - 7:00 PM",cafe,ChIJ60w1qN9-hYARtzxtM7Qwdw4,coffee
States,San Francisco Bay Area,Berkeley,California,United States of America,,Sleek spot with high quality beans and great espresso! Give their baked goods a try too.,"Berkeley, CA, USA",,,"https://www.google.com/maps/search/?api=1&query=Berkeley,%20CA,%20USA&query_place_id=ChIJ00mFOjZ5hYARk-l1ppUV6pQ",37.8715,-122.273,,locality,ChIJ00mFOjZ5hYARk-l1ppUV6pQ,attraction
Equator Coffee,San Francisco Bay Area,San Francisco,California,United States of America,,"Classic Bay Area coffee: speciality drinks, single-origin beans and their Fort Mason tiny spot is great for enjoying the views of the Bay and the Marina.","2 Marina Blvd, San Francisco, CA 94123, United States",4.4,347.0,"https://www.google.com/maps/search/?api=1&query=2%20Marina%20Blvd,%20San%20Francisco,%20CA%2094123,%20United%20States&query_place_id=ChIJA_rvjdiAhYARb0vVE-Pyauk",37.8053,-122.4319,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: 6:30 AM - 5:00 PM
Friday: 6:30 AM - 5:00 PM
Saturday: 7:00 AM - 5:00 PM
Sunday: 7:00 AM - 5:00 PM",cafe,ChIJA_rvjdiAhYARb0vVE-Pyauk,coffee
CoRo Coffee,San Francisco Bay Area,Berkeley,California,United States of America,,On the science-y side of coffee: super dedicated to making very tasty drinks but also being innovative. Go there for great coffee and the nice street-side seating.,"2324 Fifth St, Berkeley, CA 94710, United States",4.8,137.0,"https://www.google.com/maps/search/?api=1&query=2324%20Fifth%20St,%20Berkeley,%20CA%2094710,%20United%20States&query_place_id=ChIJ4-0j0Oh-hYAR_rDr6cfh-N4",37.8625,-122.2973,"Monday: 7:30 AM - 4:00 PM
Tuesday: 7:30 AM - 4:00 PM
Wednesday: 7:30 AM - 4:00 PM
Thursday: 7:30 AM - 4:00 PM
Friday: 7:30 AM - 4:00 PM
Saturday: 8:30 AM - 4:00 PM
Sunday: 8:30 AM - 4:00 PM",cafe,ChIJ4-0j0Oh-hYAR_rDr6cfh-N4,coffee
