name,type,location,creators_rec,notes,sheet_name,address,rating,user_ratings_total,google_maps_link,lat,lng
Blue Bottle,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"199 Sutter St, San Francisco, CA 94104, United States",4.3,193,"https://www.google.com/maps/search/?api=1&query=199%20Sutter%20St,%20San%20Francisco,%20CA%2094104,%20United%20States&query_place_id=ChIJkTp9BlSBhYARQ4Ac1T2twbk",37.7897159,-122.4036692
Cafenated Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"2085 Vine St, Berkeley, CA 94709, United States",4.3,368,"https://www.google.com/maps/search/?api=1&query=2085%20Vine%20St,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJz4VbokB_hYAR95axLBoPul4",37.8803291,-122.2699044
Victory Point,Coffee,San Francisco Bay Area,Yes,Good espresso in a board game cafe.,Dea - Bay Area,"1797 Shattuck Ave. Ste A, Berkeley, CA 94709, United States",4.7,775,"https://www.google.com/maps/search/?api=1&query=1797%20Shattuck%20Ave.%20Ste%20A,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJc4U-eZ9-hYAR5ih4d-bZpBI",37.8751742,-122.2684613
My Coffee Roastery,Coffee,San Francisco Bay Area,Yes,"Fairytale cottage coffee shop, with incredible attention to detail. Look out for sorted jars of bad coffee beans (""floater"" and ""immature"" among others).",Dea - Bay Area,"2080 Martin Luther King Jr Way, Berkeley, CA 94704, United States",4.8,268,"https://www.google.com/maps/search/?api=1&query=2080%20Martin%20Luther%20King%20Jr%20Way,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJxapf8PF_hYARPg1Ki7Ws9pE",37.8707081,-122.2731313
Artis,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"3200 Buchanan St, San Francisco, CA 94123, United States",5,13,"https://www.google.com/maps/search/?api=1&query=3200%20Buchanan%20St,%20San%20Francisco,%20CA%2094123,%20United%20States&query_place_id=ChIJn9NlrduAhYARGpRE10b3jg8",37.7994913,-122.4324954
Hidden Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"1250 Addison St Suite 111, Berkeley, CA 94702, United States",4.8,190,"https://www.google.com/maps/search/?api=1&query=1250%20Addison%20St%20Suite%20111,%20Berkeley,%20CA%2094702,%20United%20States&query_place_id=ChIJBXOowZl_hYARlyq3_rFQii0",37.8684254,-122.2869747
Timeless Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"85 Webster St, Oakland, CA 94607, United States",4.6,27,"https://www.google.com/maps/search/?api=1&query=85%20Webster%20St,%20Oakland,%20CA%2094607,%20United%20States&query_place_id=ChIJn8E-3JmBj4ARluJx519FjNQ",37.7944421,-122.274949
Free Speech Movement,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"3rd Floor, U C, University Dr, Berkeley, CA 94709, United States",4.3,205,"https://www.google.com/maps/search/?api=1&query=3rd%20Floor,%20U%20C,%20University%20Dr,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJ60w1qN9-hYARtzxtM7Qwdw4",37.8725738,-122.260848
Rasa Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"1379 4th St, San Francisco, CA 94158, United States",4.6,47,"https://www.google.com/maps/search/?api=1&query=1379%204th%20St,%20San%20Francisco,%20CA%2094158,%20United%20States&query_place_id=ChIJCy0wI95_j4ARigNNPMcOA8A",37.7707737,-122.3904454
States,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"San Francisco Bay Area, CA, USA",,,"https://www.google.com/maps/search/?api=1&query=San%20Francisco%20Bay%20Area,%20CA,%20USA&query_place_id=ChIJtdeIpqODhYARqR9GV4QbiYw",37.8271784,-122.2913078
Equator Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"2 Marina Blvd, San Francisco, CA 94123, United States",4.4,341,"https://www.google.com/maps/search/?api=1&query=2%20Marina%20Blvd,%20San%20Francisco,%20CA%2094123,%20United%20States&query_place_id=ChIJA_rvjdiAhYARb0vVE-Pyauk",37.8053185,-122.4318742
Souvenir Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"262 Divisadero St, San Francisco, CA 94117, United States",4.7,69,"https://www.google.com/maps/search/?api=1&query=262%20Divisadero%20St,%20San%20Francisco,%20CA%2094117,%20United%20States&query_place_id=ChIJcfdZTniBhYAR1cv6xpc52jg",37.7716287,-122.4369858
Cole Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"6255 College Ave, Oakland, CA 94618, United States",4.5,178,"https://www.google.com/maps/search/?api=1&query=6255%20College%20Ave,%20Oakland,%20CA%2094618,%20United%20States&query_place_id=ChIJNQisF8V9hYARc49kZMxujrw",37.8502346,-122.2525058
Bartavelle Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"1621 San Pablo Ave, Berkeley, CA 94702, United States",4.6,323,"https://www.google.com/maps/search/?api=1&query=1621%20San%20Pablo%20Ave,%20Berkeley,%20CA%2094702,%20United%20States&query_place_id=ChIJAYt4gMZ-hYARyMgp8yrKXpE",37.8745139,-122.2934444
CoRo Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"2324 Fifth St, Berkeley, CA 94710, United States",4.7,137,"https://www.google.com/maps/search/?api=1&query=2324%20Fifth%20St,%20Berkeley,%20CA%2094710,%20United%20States&query_place_id=ChIJ4-0j0Oh-hYAR_rDr6cfh-N4",37.8625,-122.2972583
Ritual,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"432b Octavia St, San Francisco, CA 94102, United States",4.5,455,"https://www.google.com/maps/search/?api=1&query=432b%20Octavia%20St,%20San%20Francisco,%20CA%2094102,%20United%20States&query_place_id=ChIJ70taCKKAhYARDqB5RsSPUJc",37.7763869,-122.4242302
The Coffee Movement,Coffee,San Francisco Bay Area,Yes,Favorite coffee shop in SF! Bonus points if you go in the summer and they have a repurposed orange VW van for people to sit in.,Dea - Bay Area,"1030 Washington St, San Francisco, CA 94108, United States",4.8,720,"https://www.google.com/maps/search/?api=1&query=1030%20Washington%20St,%20San%20Francisco,%20CA%2094108,%20United%20States&query_place_id=ChIJoTMb3PKAhYARsXkQt469sBw",37.7947575,-122.4102936
Sightglass,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"270 7th St, San Francisco, CA 94103, United States",4.5,2833,"https://www.google.com/maps/search/?api=1&query=270%207th%20St,%20San%20Francisco,%20CA%2094103,%20United%20States&query_place_id=ChIJf-V9OIKAhYARu8bBG2S6RME",37.77704,-122.4084386
Apple Visitor Center,Coffee,San Francisco Bay Area,Yes,"Coffee: slightly average. Apple's HQ being across the street: kinda surreal. If you get a foamy drink, there's a nice litte surprise at the top :)",Dea - Bay Area,"10600 N Tantau Ave, Cupertino, CA 95014, United States",4.4,976,"https://www.google.com/maps/search/?api=1&query=10600%20N%20Tantau%20Ave,%20Cupertino,%20CA%2095014,%20United%20States&query_place_id=ChIJ0aPn18W1j4ARgC9zTSPeQRc",37.332773,-122.0053844
Ain't Normal,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"5701 College Ave, Oakland, CA 94618, United States",4.7,145,"https://www.google.com/maps/search/?api=1&query=5701%20College%20Ave,%20Oakland,%20CA%2094618,%20United%20States&query_place_id=ChIJUborLjx_hYARle9InnFaRGA",37.8453451,-122.2520176
Goody Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"Landmark Building C, 2 Marina Blvd, San Francisco, CA 94123, United States",4.4,76,"https://www.google.com/maps/search/?api=1&query=Landmark%20Building%20C,%202%20Marina%20Blvd,%20San%20Francisco,%20CA%2094123,%20United%20States&query_place_id=ChIJ02-LXyeBhYARMKR34YswheM",37.8065274,-122.431413
HITW,Coffee,San Francisco Bay Area,Yes,"Essentially a coffee window with a few squeaky tables around it on the street, but few coffee experiences beat getting an espresso shot, reading a book and taking in the beautiful North Beach SF neighborhood, especially in early fall.",Dea - Bay Area,"524 Union St, San Francisco, CA 94133, United States",4.7,196,"https://www.google.com/maps/search/?api=1&query=524%20Union%20St,%20San%20Francisco,%20CA%2094133,%20United%20States&query_place_id=ChIJp8zEOPGAhYAR4VicktsDkf0",37.8006907,-122.4080931
1951 Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"2410 Channing Way, Berkeley, CA 94704, United States",4.7,324,"https://www.google.com/maps/search/?api=1&query=2410%20Channing%20Way,%20Berkeley,%20CA%2094704,%20United%20States&query_place_id=ChIJW2yuxCh8hYARGGQHIaJzsZc",37.8666359,-122.2599729
Red Bay Coffee Box,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"2327 Broadway, Oakland, CA 94612, United States",4.7,83,"https://www.google.com/maps/search/?api=1&query=2327%20Broadway,%20Oakland,%20CA%2094612,%20United%20States&query_place_id=ChIJ_-pWxayAj4ARh4qLGoszSn0",37.8126899,-122.2663677
Crown Coffee Lab,Coffee,San Francisco Bay Area,Yes,"Coffee meets tasting menus: get their sample of 3 coffees and nerd out over tasting notes. Also offers classes, consultations and a podcast!",Dea - Bay Area,"2523 Broadway, Oakland, CA 94612, United States",4.7,108,"https://www.google.com/maps/search/?api=1&query=2523%20Broadway,%20Oakland,%20CA%2094612,%20United%20States&query_place_id=ChIJrVeVEOWHj4ARvUAZyJpyVY4",37.8144754,-122.2650524
Verve Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"2101 Market St, San Francisco, CA 94114, United States",4.4,669,"https://www.google.com/maps/search/?api=1&query=2101%20Market%20St,%20San%20Francisco,%20CA%2094114,%20United%20States&query_place_id=ChIJUVdHex5-j4ARPEs27aq3-tg",37.7671579,-122.4290973
The Mill,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"736 Divisadero St, San Francisco, CA 94117, United States",4.5,1765,"https://www.google.com/maps/search/?api=1&query=736%20Divisadero%20St,%20San%20Francisco,%20CA%2094117,%20United%20States&query_place_id=ChIJVzS3LbCAhYAR6Dw2KqlhWhg",37.7764861,-122.4378944
Nirvana Soul,Coffee,San Francisco Bay Area,Yes,"Great coffee in a pink, tropical-themed shop. The staff is incredibly friendly and it shows: the shop even has a coffee Spotify playlist!",Dea - Bay Area,"315 S 1st St, San Jose, CA 95113, United States",4.8,469,"https://www.google.com/maps/search/?api=1&query=315%20S%201st%20St,%20San%20Jose,%20CA%2095113,%20United%20States&query_place_id=ChIJz1LOsPnNj4ARsOE14qXH6v0",37.3311664,-121.8870153
VN Beans,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"288 Connecticut St, San Francisco, CA 94107, United States",4.3,436,"https://www.google.com/maps/search/?api=1&query=288%20Connecticut%20St,%20San%20Francisco,%20CA%2094107,%20United%20States&query_place_id=ChIJwxzssMt_j4ARFniAGvgn6LQ",37.7626205,-122.3977372
Three Waves,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"7 Joost Ave Suite 201, San Francisco, CA 94131, United States",5,1,"https://www.google.com/maps/search/?api=1&query=7%20Joost%20Ave%20Suite%20201,%20San%20Francisco,%20CA%2094131,%20United%20States&query_place_id=ChIJF4uQzHx-j4ARyxGj5CkZkAc",37.732274,-122.435521
Sextant Coffee Roasters,Coffee,San Francisco Bay Area,Yes,Some of the best coffee the Bay Area has to offer.,Dea - Bay Area,"1415 Folsom St, San Francisco, CA 94103, United States",4.5,593,"https://www.google.com/maps/search/?api=1&query=1415%20Folsom%20St,%20San%20Francisco,%20CA%2094103,%20United%20States&query_place_id=ChIJg1s92Sd-j4ARTKJr-IhF_-Q",37.7724648,-122.412957
Motivat,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"106 Point Lobos Ave, San Francisco, CA 94121, United States",0,0,"https://www.google.com/maps/search/?api=1&query=106%20Point%20Lobos%20Ave,%20San%20Francisco,%20CA%2094121,%20United%20States&query_place_id=ChIJV1VVVamHhYARdd3gEWMlHNA",37.7799292,-122.5042112
Bicycle Coffee,Coffee,San Francisco Bay Area,Yes,Bike-themed shop geared towards cyclists. Expect to be served with both coffee and cycling gear if interested. They give you discounts if you show them your helmet!,Dea - Bay Area,"377 2nd St #110, Oakland, CA 94607, United States",4.6,501,"https://www.google.com/maps/search/?api=1&query=377%202nd%20St%20#110,%20Oakland,%20CA%2094607,%20United%20States&query_place_id=ChIJSbBdUciAj4ARwTBjTQ6u0FY",37.79502600000001,-122.2748249
Andytown,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"3629 Taraval St, San Francisco, CA 94116, United States",4.5,375,"https://www.google.com/maps/search/?api=1&query=3629%20Taraval%20St,%20San%20Francisco,%20CA%2094116,%20United%20States&query_place_id=ChIJyQd9b2N9j4ARU0bf2M8oyAk",37.7414594,-122.5052277
Flywheel,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"672 Stanyan St, San Francisco, CA 94117, United States",4.5,953,"https://www.google.com/maps/search/?api=1&query=672%20Stanyan%20St,%20San%20Francisco,%20CA%2094117,%20United%20States&query_place_id=ChIJdam9at-HhYAReFFog6hjhdo",37.7696699,-122.4534997
Snow White,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"2650 Clement St, San Francisco, CA 94121, United States",4.1,8,"https://www.google.com/maps/search/?api=1&query=2650%20Clement%20St,%20San%20Francisco,%20CA%2094121,%20United%20States&query_place_id=ChIJHfb-9AaHhYARlRePvhQ6GvQ",37.782127,-122.487926
Awaken,Coffee,San Francisco Bay Area,Yes,Downtown Oakland spot with pretty good espresso and oversized beach lounging chairs in front of the shop that let you people-watch and bask in the sun.,Dea - Bay Area,"467 Guerrero St #4, San Francisco, CA 94110, United States",5,6,"https://www.google.com/maps/search/?api=1&query=467%20Guerrero%20St%20#4,%20San%20Francisco,%20CA%2094110,%20United%20States&query_place_id=ChIJrZQqmxV_j4ARLtqzQ134bz0",37.7637169,-122.4237422
Four Barrel,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"375 Valencia St, San Francisco, CA 94103, United States",4.5,2385,"https://www.google.com/maps/search/?api=1&query=375%20Valencia%20St,%20San%20Francisco,%20CA%2094103,%20United%20States&query_place_id=ChIJ__abjyF-j4ARmyuzGS1yOdc",37.767021,-122.4219573
Kilovolt,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"1829 Mandela Pkwy, Oakland, CA 94607, United States",4.4,377,"https://www.google.com/maps/search/?api=1&query=1829%20Mandela%20Pkwy,%20Oakland,%20CA%2094607,%20United%20States&query_place_id=ChIJk0lM_uJ_hYARUers_89-3s0",37.8142768,-122.2905905
Haddon Hill,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"504 Wesley Ave, Oakland, CA 94606, United States",4.7,147,"https://www.google.com/maps/search/?api=1&query=504%20Wesley%20Ave,%20Oakland,%20CA%2094606,%20United%20States&query_place_id=ChIJX946rDiHj4AR9IBVQMmvTNM",37.8049375,-122.248852
CRO Cafe,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"Alley 49, Oakland, CA 94609, United States",4.4,100,"https://www.google.com/maps/search/?api=1&query=Alley%2049,%20Oakland,%20CA%2094609,%20United%20States&query_place_id=ChIJcdGPDeF9hYARrf-L17vFVzY",37.8360141,-122.2618377
Mind Coffee,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"1816 Euclid Ave, Berkeley, CA 94709, United States",4.8,31,"https://www.google.com/maps/search/?api=1&query=1816%20Euclid%20Ave,%20Berkeley,%20CA%2094709,%20United%20States&query_place_id=ChIJgz3oXhJ9hYARlD3v3inA8uY",37.8757834,-122.2605424
Piccino,Coffee,San Francisco Bay Area,,,Dea - Bay Area,"1001 Minnesota St, San Francisco, CA 94107, United States",4.5,1112,"https://www.google.com/maps/search/?api=1&query=1001%20Minnesota%20St,%20San%20Francisco,%20CA%2094107,%20United%20States&query_place_id=ChIJZy35-bl_j4ARBBvSPp-LhIE",37.7575756,-122.3899633
